iso_year_week,week_start,ride_id,ride_name,days_operating,avg_wait_open,max_wait,total_open_samples,avg_pct_open
2026-W36,2026-08-31,10461,Barnstormer,3,0.0,0,95,56.0
2026-W36,2026-08-31,17425,Barrels O’ Fun,3,0.2,10,86,51.0
2026-W36,2026-08-31,3233,BATMAN™ The Ride,3,0.4,5,93,54.9
2026-W36,2026-08-31,3270,Buccaneer,3,0.0,0,75,44.9
2026-W36,2026-08-31,3275,Bugaboo,3,0.0,0,95,56.0
2026-W36,2026-08-31,3277,Bugs Bunny Camp Carousel,3,0.0,0,83,47.6
2026-W36,2026-08-31,3279,Bugs Bunny Ranger Pilots,3,0.0,0,83,47.6
2026-W36,2026-08-31,3237,Carousel,3,0.0,0,95,56.0
2026-W36,2026-08-31,3240,Daffy Duck Hot Air Balloons,3,0.0,0,81,46.5
2026-W36,2026-08-31,3243,El Toro,2,0.0,0,69,57.5
2026-W36,2026-08-31,3244,Enchanted Teacups,3,0.0,0,95,56.0
2026-W36,2026-08-31,3245,Fender Benders,3,0.0,0,95,56.0
2026-W36,2026-08-31,17426,Flying Scooters,3,0.0,0,95,56.0
2026-W36,2026-08-31,15604,Giant Wheel,3,0.0,0,92,54.3
2026-W36,2026-08-31,3236,HARLEY QUINN™ Crazy Train,3,2.5,15,95,56.0
2026-W36,2026-08-31,3249,Houdini’s Great Escape,3,0.0,0,95,56.0
2026-W36,2026-08-31,17427,Hypno Twister,3,0.0,0,93,54.9
2026-W36,2026-08-31,8539,Jersey Devil Coaster,3,3.3,20,91,53.7
2026-W36,2026-08-31,3250,Jolly Roger,3,0.0,0,95,56.0
2026-W36,2026-08-31,3916,JUSTICE LEAGUE™: Battle for METROPOLIS,3,1.3,5,95,56.0
2026-W36,2026-08-31,10077,Lil' Devil Coaster,3,0.0,0,93,54.9
2026-W36,2026-08-31,10533,Medusa,3,2.7,10,88,52.1
2026-W36,2026-08-31,3253,Nitro,3,1.5,10,77,46.0
2026-W36,2026-08-31,15617,Porky Pig Camp Wagons,3,0.0,0,83,47.6
2026-W36,2026-08-31,3257,Raja’s Rickshaws,3,0.0,0,95,56.0
2026-W36,2026-08-31,15829,Roaring Rapids,1,0.0,0,36,60.0
2026-W36,2026-08-31,3283,Saw Mill Log Flume,3,8.5,30,95,56.0
2026-W36,2026-08-31,15727,Scrambler,3,0.0,0,95,56.0
2026-W36,2026-08-31,3262,Skull Mountain,3,0.0,0,90,52.5
2026-W36,2026-08-31,3281,Sky Zooma,3,0.0,0,95,56.0
2026-W36,2026-08-31,3263,SkyScreamer,3,0.0,0,80,47.6
2026-W36,2026-08-31,3282,Slingshot,1,0.0,0,12,20.0
2026-W36,2026-08-31,15789,Storm Chaser,3,0.0,0,95,56.0
2026-W36,2026-08-31,3267,Super Round Up,3,0.0,0,95,56.0
2026-W36,2026-08-31,3266,SUPERMAN™: Ultimate Flight,3,3.9,20,93,54.9
2026-W36,2026-08-31,3268,Tango,3,0.0,0,59,36.0
2026-W36,2026-08-31,3271,THE DARK KNIGHT™ Coaster,3,4.6,15,69,41.3
2026-W36,2026-08-31,14537,THE FLASH™: Vertical Velocity,3,16.2,30,92,54.3
2026-W36,2026-08-31,3288,THE JOKER™,3,1.3,10,92,54.3
2026-W36,2026-08-31,15594,Tree Top Hopper,3,0.0,0,95,56.0
2026-W36,2026-08-31,17428,Wave Swinger,3,0.0,0,94,55.4
2026-W36,2026-08-31,3273,Wile E. Coyote Canyon Blaster,3,0.0,0,83,47.6
2026-W36,2026-08-31,6371,WONDER WOMAN™ Lasso of Truth,3,3.1,15,95,56.0
