date_local,ride_id,ride_name,land,samples,open_samples,pct_open,avg_wait_open,median_wait_open,p90_wait_open,max_wait,first_open_local,last_open_local
2026-08-19,10533,Medusa,Thrill Rides,103,52,50.5,1.3,0.0,10.0,10,11:25,19:15
2026-08-19,3253,Nitro,Thrill Rides,103,60,58.3,12.3,5.0,60.0,60,11:25,19:40
2026-08-19,15617,Porky Pig Camp Wagons,Kids' Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3257,Raja’s Rickshaws,Kids' Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,15829,Roaring Rapids,Family Rides,103,51,49.5,0.0,0.0,0.0,0,12:10,19:40
2026-08-19,3261,Runaway Train,Thrill Rides,103,0,0.0,,,,,,
2026-08-19,3274,Safari Off-Road Adventure,Kids' Rides,103,36,35.0,14.9,15.0,30.0,30,11:25,16:00
2026-08-19,3283,Saw Mill Log Flume,Kids' Rides,103,60,58.3,32.7,30.0,70.0,70,11:25,19:40
2026-08-19,15727,Scrambler,Family Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3262,Skull Mountain,Thrill Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3281,Sky Zooma,Kids' Rides,103,46,44.7,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3263,SkyScreamer,Thrill Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3282,Slingshot,Thrill Rides,103,51,49.5,0.0,0.0,0.0,0,12:10,19:40
2026-08-19,15789,Storm Chaser,Kids' Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3267,Super Round Up,Kids' Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3266,SUPERMAN™: Ultimate Flight,Thrill Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3268,Tango,Family Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3271,THE DARK KNIGHT™ Coaster,Thrill Rides,103,59,57.3,32.8,45.0,45.0,45,11:25,19:40
2026-08-19,14537,THE FLASH™: Vertical Velocity,Thrill Rides,103,45,43.7,48.0,45.0,60.0,60,11:25,19:40
2026-08-19,3288,THE JOKER™,Thrill Rides,103,57,55.3,26.2,30.0,30.0,55,11:25,19:40
2026-08-19,15594,Tree Top Hopper,Kids' Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,17428,Wave Swinger,Family Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,3273,Wile E. Coyote Canyon Blaster,Thrill Rides,103,60,58.3,0.0,0.0,0.0,0,11:25,19:40
2026-08-19,6371,WONDER WOMAN™ Lasso of Truth,Thrill Rides,103,0,0.0,,,,,,
2026-08-20,3231,Air Jumbo,Family Rides,188,88,46.8,0.0,0.0,0.0,0,10:40,18:10
2026-08-20,3232,Air Safari,Kids' Rides,188,91,48.4,0.0,0.0,0.0,0,10:40,18:10
2026-08-20,10461,Barnstormer,Kids' Rides,188,86,45.7,0.0,0.0,0.0,0,10:40,18:10
